title,genres,overview,cast,crew,movie_id
Movie_1,['Drama'],This is the overview of movie 0.,"['Ram Charan', 'Sai Dharam Tej', 'Sai Dharam Tej']",['Trivikram Srinivas'],1000
Movie_2,['Thriller'],This is the overview of movie 1.,"['NTR', 'Prabhas', 'Allu Arjun']",['Koratal Siva'],1001
Movie_3,['Action'],This is the overview of movie 2.,"['Mahesh Babu', 'Chiranjeevi', 'Prabhas']",['Koratal Siva'],1002
Movie_4,['Thriller'],This is the overview of movie 3.,"['Prabhas', 'Vijay Deverakonda', 'Sai Dharam Tej']",['Sukumar'],1003
Movie_5,['Thriller'],This is the overview of movie 4.,"['Sai Dharam Tej', 'Sai Dharam Tej', 'Sai Dharam Tej']",['Sukumar'],1004
Movie_6,['Action'],This is the overview of movie 5.,"['Prabhas', 'Vijay Deverakonda', 'Sai Dharam Tej']",['Puri Jagannadh'],1005
Movie_7,['Romance'],This is the overview of movie 6.,"['Varun Tej', 'Chiranjeevi', 'Mahesh Babu']",['Boyapati Srinu'],1006
Movie_8,['Romance'],This is the overview of movie 7.,"['Varun Tej', 'NTR', 'Pawan Kalyan']",['Trivikram Srinivas'],1007
Movie_9,['Thriller'],This is the overview of movie 8.,"['Varun Tej', 'Allu Arjun', 'Mahesh Babu']",['Koratal Siva'],1008
Movie_10,['Drama'],This is the overview of movie 9.,"['Mahesh Babu', 'Prabhas', 'Mahesh Babu']",['SS Rajamouli'],1009
Movie_11,['Romance'],This is the overview of movie 10.,"['Varun Tej', 'Mahesh Babu', 'Pawan Kalyan']",['Koratal Siva'],1010
Movie_12,['Romance'],This is the overview of movie 11.,"['NTR', 'Varun Tej', 'NTR']",['Trivikram Srinivas'],1011
Movie_13,['Romance'],This is the overview of movie 12.,"['NTR', 'Ram Charan', 'Prabhas']",['Vamshi Paidipally'],1012
Movie_14,['Comedy'],This is the overview of movie 13.,"['Mahesh Babu', 'Mahesh Babu', 'Vijay Deverakonda']",['Sukumar'],1013
Movie_15,['Thriller'],This is the overview of movie 14.,"['Mahesh Babu', 'Varun Tej', 'Vijay Deverakonda']",['Koratal Siva'],1014
Movie_16,['Romance'],This is the overview of movie 15.,"['Mahesh Babu', 'NTR', 'Pawan Kalyan']",['Sukumar'],1015
Movie_17,['Comedy'],This is the overview of movie 16.,"['Mahesh Babu', 'Prabhas', 'Chiranjeevi']",['Vamshi Paidipally'],1016
Movie_18,['Comedy'],This is the overview of movie 17.,"['Pawan Kalyan', 'Allu Arjun', 'NTR']",['SS Rajamouli'],1017
