title,genres,overview,cast,crew,movie_id
Mayabazar,Mythological,A classic fantasy drama.,"NTR, Savitri",K. V. Reddy,1
Baahubali: The Beginning,Epic Action,A warrior rises to discover his legacy.,"Prabhas, Rana",Rajamouli,2
Baahubali 2: The Conclusion,Epic Action,The continuation of Baahubali saga.,"Prabhas, Anushka",Rajamouli,3
RRR,Period Action,Two revolutionaries fight for freedom.,"Ram Charan, NTR",Rajamouli,4
Pushpa,Action Drama,A laborer rises in red sandalwood smuggling.,"Allu Arjun, Rashmika",Sukumar,5
Athadu,Action Thriller,A hitman becomes part of a family accidentally.,"Mahesh Babu, Trisha",Trivikram,6
Pokiri,Action,An undercover cop infiltrates mafia.,"Mahesh Babu, Ileana",Puri Jagannadh,7
Gabbar Singh,Action Comedy,A man joins police to take revenge.,"Pawan Kalyan, Shruti Hassan",Harish Shankar,8
Khaidi No. 150,Action Drama,An ex-convict fights against corporate corruption.,"Chiranjeevi, Kajal",VV Vinayak,9
Sye Raa Narasimha Reddy,Historical,Story of freedom fighter Uyyalawada Narasimha Reddy.,"Chiranjeevi, Nayanthara",Surender Reddy,10
Magadheera,Fantasy Action,Reincarnation love revenge drama.,"Ram Charan, Kajal",Rajamouli,11
Ala Vaikunthapuramulo,Family Drama,A middle-class man discovers his real parents.,"Allu Arjun, Pooja",Trivikram,12
Sita Ramam,Romantic Drama,A soldier and a girl exchange letters that change lives.,"Dulquer, Mrunal",Hanu Raghavapudi,13
Salaar,Action,A man protects his friend from enemies.,"Prabhas, Prithviraj",Prashanth Neel,14
Saaho,Action Thriller,A thief and undercover police clash in a mystery.,"Prabhas, Shraddha",Sujeeth,15
Gaddalakonda Ganesh,Action Comedy,A gangster's life is documented by a director.,"Varun Tej, Atharvaa",Harish Shankar,16
Tholi Prema,Romantic,A love story of two opposite personalities.,"Varun Tej, Raashi",Venky Atluri,17
Bheemla Nayak,Action,Conflict between a SI and retired army havildar.,"Pawan Kalyan, Rana",Saagar K Chandra,18
Jalsa,Action Comedy,A cheerful lecturer with a painful past.,"Pawan Kalyan, Ileana",Trivikram,19
Sarileru Neekevvaru,Action Comedy,An army major protects a family from a minister.,"Mahesh Babu, Rashmika",Anil Ravipudi,20
Bharat Ane Nenu,Political,A young CM tries to change the system.,"Mahesh Babu, Kiara",Koratala Siva,21
Acharya,Action,A naxal-fighting story in a temple town.,"Chiranjeevi, Ram Charan",Koratala Siva,22
Bro,Fantasy Drama,A man gets a second chance from Time God.,"Pawan Kalyan, Sai Dharam Tej",Samuthirakani,23
Virupaksha,Mystery Thriller,A man uncovers secrets behind deaths.,"Sai Dharam Tej, Samyuktha",Karthik Varma,24
Subramanyam For Sale,Rom-Com,A boy acts as fiancé for money.,"Sai Dharam Tej, Regina",Harish Shankar,25
Arjun Reddy,Romantic Drama,A brilliant surgeon spirals into self-destruction after heartbreak.,"Vijay Deverakonda, Shalini",Sandeep Reddy Vanga,26
Geetha Govindam,Rom-Com,A naive lecturer falls for a strong-willed woman.,"Vijay Deverakonda, Rashmika",Parasuram,27
Arya,Romantic Drama,A free-spirited man falls for a girl engaged to another.,"Allu Arjun, Anuradha",Sukumar,33
Arya 2,Romantic Drama,Two friends with contrasting personalities love the same girl.,"Allu Arjun, Kajal",Sukumar,34
Nuvvostanante Nenoddantana,Rom-Com,A rich boy proves his love by farming.,"Siddharth, Trisha",Prabhu Deva,35
Bommarillu,Family Drama,A young man struggles with his controlling father.,"Siddharth, Genelia",Bhaskar,36
Ye Maaya Chesave,Romantic Drama,A filmmaker falls for a woman from a different faith.,"Naga Chaitanya, Samantha",Gautham Menon,37
Oopiri,Drama,A quadriplegic billionaire befriends his caretaker.,"Nagarjuna, Karthi",Vamsi Paidipally,40
Shiva,Action Thriller,A student fights against the college mafia.,"Nagarjuna, Amala",Ram Gopal Varma,41
Gaayam,Action Thriller,A man seeks revenge against political corruption.,"Jagapathi Babu, Revathi",Ram Gopal Varma,42
Annamayya,Devotional,A biopic of saint-poet Annamacharya.,"Nagarjuna, Ramya Krishnan",K. Raghavendra Rao,43
Sri Ramadasu,Devotional,Life story of saint Ramadasu.,"Nagarjuna, Sneha",K. Raghavendra Rao,44
Gang Leader,Action Comedy,A man leads widows to fight injustice.,"Chiranjeevi, Vijayashanti",Vijaya Bapineedu,47
Kshana Kshanam,Thriller,A couple gets entangled in a robbery chase.,"Venkatesh, Sridevi",Ram Gopal Varma,48
Prem Nagar,Romantic Drama,A rich man falls for a poor woman.,"ANR, Vanisri",K. S. Prakash Rao,49
Devadasu,Romantic Drama,A poor boy and rich girl fall in love.,"Ram, Ileana",YVS Chowdary,50
Karthikeya,Mystery Thriller,A medical student investigates a temple mystery.,"Nikhil, Swati",Chandoo Mondeti,51
Karthikeya 2,Mystery Adventure,A man uncovers secrets linked to Lord Krishna.,"Nikhil, Anupama",Chandoo Mondeti,52
Swathi Muthyam,Romantic Drama,A naive man marries a widow against societal norms.,"Kamal Haasan, Radhika",K. Viswanath,53
Sankarabharanam,Musical Drama,A classical musician struggles to preserve tradition.,"Somayajulu, Manju Bhargavi",K. Viswanath,54
Aditya 369,Sci-Fi Adventure,A scientist invents a time machine leading to adventures.,"Balakrishna, Mohini",Singeeetam Srinivasa Rao,55
Jagadeka Veerudu Athiloka Sundari,Fantasy,A man finds a celestial maiden’s ring.,"Chiranjeevi, Sridevi",K. Raghavendra Rao,56
